System,"Documentation integration/generation, reporting",Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA[4],Plugin API[5],Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
Apache Bloodhound,"Yes, integrated wiki",Yes,Yes,Yes,Yes,No,Yes,Yes (as of 0.6),Yes,Yes[6] uses Whoosh,No,No
Assembla Tickets,"Yes, Wiki syntax, email notification, linking to Subversion commits, document manager, charts, reports, notifications",Yes,Yes,Yes,Yes,No,Yes,Yes,No,Unknown,No,No
Axosoft,"Yes, Team Wiki, Burndown, GitHub and TortoiseSVN integration, dashboards, custom reports for OnPremises, e-mail notifications and alerts, customer portal, RSS",No,Yes,Yes,Yes,Yes,Yes,Yes,,,,No
Bugzilla,"Yes, reporting: integrated reports and charts, scheduled reports by mail",Yes[7],Yes,Yes,Yes,No,Yes,Yes,Yes[8],Yes When using MySQL MyISAM[9] or Oracle Database[10] but not PostgreSQL[11],,Yes[12]
Debbugs,No,No,No,Yes,No,No,No,Unknown,,,No,No
Faveo Helpdesk,"Yes, Integrated Social Media, In-built Knowledge Base and Reporting",No,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No
FogBugz,"Yes, Integrated wiki",No,Yes,Yes,Yes,No,Yes[13],Yes,Yes[14],Yes[15],No[16],Yes
Fossil,"Yes, Integrated Wiki in addition to integrated versioned project documentation via web ui.",No,No,No,Yes,No,No,Yes[17],No[18],No,,No
FusionForge,"Yes, integrated Mediawiki, discussion forums, news blogs, email integration, export to CSV, reporting graphs",No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,No
GLPI,"Yes, Contains a proprietary knowledge base of sorts",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
GNATS,No,No,No,No,No,No,No,Unknown,,,,No
HP Quality Center,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Jira,"Yes, Dashboard with reporting widgets (Open Social) Excel, Word, customizable charts, Confluence (Enterprise wiki)",Yes[19],Yes,Yes,Yes,Yes,Yes[20],Yes,Yes[21],Yes Uses Lucene[21],Optional[22],No[23]
Launchpad,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
MantisBT,"Yes, Integration of MediaWiki, DokuWiki, XWiki",No,Yes,Yes,Yes,No,Yes,Yes,Yes[24],Yes,No[25],Yes
Microsoft Dynamics CRM,"Yes, reporting: integrated charts and reports, export to Excel, Mail Merge",No,Yes,Yes,Yes,No,Yes,Unknown,,,,No
org-mode,"Yes, org-mode has built-in export to HTML, Latex, .md and literate programming capabilities for multiple languages in a single document",No,Yes,Yes,Yes,No,No,Yes,Yes,,,No
OTRS,"Yes, Advanced reporting, configurable dashboards",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Phabricator,"Yes, integrated wiki and limited burn down charts",Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Pivotal Tracker,"Yes, real time collaborative story backlog, integrated reports, email notification",Yes,No,Yes,No,No,Yes,Yes,,,,No
Redmine,"Yes, integrated wiki, discussion forums, news blogs, email integration, calendars, Gantt Charts, RSS, export to PDF, export to Excel/CSV",Yes[26],Yes,Yes,Yes,Optional[27],Yes,Yes,Yes[28],"Optional, when using PostgreSQL[29]",Optional[30],Yes[31]
Request Tracker,"Yes, MediaWiki[32]",No,Yes,Yes,Yes,Yes[33],Yes[34],Yes,Yes[35],Yes[35],,No
Roundup,"Yes, wiki can be integrated or linked",No,Yes,Yes,Yes,No,Yes[36],Yes,Yes[37],Yes with issues[38],Yes,No
StarTeam,No,Yes[39],Yes,No,Yes,No,No,Unknown,,,,No
Supportworks,"Yes - Integrated reporting wizard, customizable PHP reporting tool, dashboard, optional interface with Crystal Reports, export to Microsoft Excel/CSV, knowledge base, optional asset management tool",No,Yes,No,Yes,Yes,Yes[40],Unknown,,,,No
SysAid,"Yes - LDAP/Email/Calendar integration, integrated Asset Management, integrated reporting, SSO, custom fields, export to CSV/PDF, KB",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,No
Team Foundation Server,"Yes - workflow definitions, process documentation",Yes,Yes,Yes,Yes,No,Yes,Yes,,,,No
Teamwork,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes[41],Yes Uses Lucene,,No
