UK,US
accelerator,"gas [pedal], accelerator"
bonnet,hood[30]
boot,trunk (of a car)[30][31]
breakdown van,tow truck
car journey,road trip
car park,parking lot[32]
crash barrier,guardrail
driving licence,driver's license[33]
dual carriageway,divided highway[30]
estate car,station wagon[32]
exhaust pipe,tail pipe
fire engine,fire truck
flyover,"overpass,[32] flyover"
gearbox,transmission[30]
gear lever,gear shift
give way,yield
hard shoulder,shoulder
"hired car, hire car","rental car, rental"
"hood, soft/hard top","convertible top, soft/hard top"
indicator,turn signal; blinkers
"juggernaut, lorry","semi, semi-truck, 18 wheeler, tractor-trailer[34]"
jump lead,jumper cable
junction,fork (in the road)
lorry,truck[31]
articulated lorry,"trailer truck, semi[32]"
manual,"stick shift, manual"
marshalling yard,railway yard
metalled road,cobble-stone road; paved road
motorway,"freeway,[34] highway or expressway"
"mudguard, wheel arch, wing",fender[35]
number plate,license plate
overtake (a vehicle),pass (a vehicle)
"pavement, footpath","sidewalk, pavement[36][37]"
pedestrian crossing,crosswalk
petrol,gasoline or gas[30]
petrol station,gas station
police car,patrol car
public transport,public transportation
racing car,race car
railway,railroad
roadworks,"construction zone, roadwork"
saloon,sedan[38]
silencer,muffler[30]
spanner,wrench[30][31]
ticking over,idling[34]
transport café,truck stop
underground (tube),subway
windscreen,windshield[30]
car valeting,auto detailing
