Web host,Storage size,Max. file size,Traffic or bandwidth limit,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption[1],Free GB (number only),Append-only support? [2],Lifecycle Policy support?,Misc. notes
Amazon Drive[3],"5 GB 3 mo. free trial, up to 30 TB paid","2 GB upload via Web, 50 GB per file via Drive app and third party clients [4]",Amazon S3 limits,No,Yes,No,No,?,?,5,,,"Free 5GB for everybody, except Mexico and China."
Amazon S3[5],"5 GB 12-month free trial with credit-card, (paid bandwidth), unlimited paid","5 GB per file, unlimited files per bucket",Amazon S3 limits,No,"REST, SOAP",?,Yes,?,?,0,,,N/A
Backblaze B2,"10 GB free, unlimited paid[6]",?,?,?,Yes,?,Yes,?,?,10,"fileWrite allows existing files to become ""hidden"", which may get deleted with lifecycle rule daysFromHidingToDeleting",Yes,
Baidu Cloud,2 TB (6 GB free)[7],"4 GB free, 20 GB paid [8]","Traffic limit is not stable, after going over the traffic limit, there is a bandwidth limited to 500 KB/s then 10 KB/s after another traffic limit.",Yes,Yes,No,No,No,?,6,,,Currently in China only
BorgBase,"5 GB free, unlimited paid[9]",?,?,?,Yes,?,?,?,?,5,Yes,?,
Box[10][11],"free trial, 100 GB paid (Starter), Unlimited Business, Unlimited Enterprise[12]","250 MB free Personal, 5 GB paid Personal, 5 GB Business, 5 GB Enterprise[12]","10 GB/month free, 2 TB/month paid[13]",30 MB per file via IFTTT[14],Yes[15],Business and Enterprise customers only[16],Some (premium)[17],No,?,10,,,Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13
CloudMe[18],"3 GB free, +500 MB for referrals up to 16 GB, 500 GB paid[19]","150 MB free, Unlimited premium",None,No [20],"REST, SOAP, WebDAV[21]",No[22],Rarely (60 days)[23],?,?,3,,,"Primarily focused on media files, synchronization and backup with web sharing."
Dropbox[24],"2 GB free, +500 MB for referrals up to 18 GB; 1 TB, 2 TB, or unlimited paid[25]","10 GB, Unlimited using client application","20 GB/day free, 200 GB/day paid[26]",No,Yes,No[27],"30 days by default, 1 year w/ add-on[28]",Yes,No,2,,,"Synchronization, backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5, 100 GB free with Samsung device"
Google Drive[29][30],"15 GB free,[31] 100 GB to 30 TB paid;[32][33] Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users)",5 TB[34],?,No,OAuth2,No,Yes[35],No,No,15,,,Additional space for limited time period with some devices and services.[36][37][38][39]
IBM Connections Files Cloud,1 TB paid (60-day free trial)[40],2 GB,None,No,"CMIS, REST, Atom (standard) and OAuth2",No,Yes,?,?,5,,,Subscription costs US$6/year[41]
Apple iCloud[42],"5 GB free, 50 GB to 2 TB paid",50 GB,200/400/600 GB per month,No,Yes,No,Partly,No,?,5,,,25 GB for previous MobileMe account subscriptions[43]
Jumpshare,"2 GB free, 1 TB paid","250 MB free, Unlimited paid","5GB per month free, 200GB per month on paid plan",Yes,?,?,?,?,No,2,,,"Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips."
