Asian lunar exploration probes,Asian lunar exploration probes,Asian lunar exploration probes,Asian lunar exploration probes,Asian lunar exploration probes,Asian lunar exploration probes
Mission name,Type,Year,Vehicle,Outcome
 Hiten (MUSES-A),Flyby/Orbiter,1990, Mu-3S-II,Success
 Hagoromo,Orbiter,1990, Mu-3S-II,Failure
 Lunar-A,Orbiter,2004 (intended)  Never launched, M5,Cancelled and integrated into Russia's Luna-Glob.
 SELENE (VRAD),Orbiter,2007, H-IIA 202,Success
 Chang'e 1,Orbiter,2007, Long March 3A,Success
 Chandrayaan-1,Orbiter,2008, PSLV-XL,Success
 Chang'e 2,Orbiter,2010, Long March 3C,Success
 Chang'e 3,Orbiter Lander Rover,2013, Long March 3B,Success
 Chang'e 5-T1,Flyby,2014, Long March 3C,Success
 Chang'e 4,Orbiters Lander Rover,2018-19, Long March 4C and Long March 3B,Success
 Chandrayaan-2,Orbiter Lander Rover,2019, GSLV MkIII,Partial success
 Chandrayaan-3,Lander Rover,Q2 2021, GSLV MkIII,Planned
 Chang'e 5,Sample return,Q4 2020, Long March 5,Planned
 Korea Pathfinder Lunar Orbiter,Orbiter,December 2020, Falcon 9,Planned
 SELENE-2,Orbiter Lander Rover,2020s (intended), H-IIA (intended),Cancelled
 SLIM,Lander,January 2022, H-IIA 202,Planned
 DESTINY+,Flyby,2022, Epsilon,Planned
 Chang'e 6,Sample return,2023-24, Long March 5,Planned
 Chang'e 7,Lander,2023,TBD,Planned
 Lunar Polar Exploration Mission,Orbiter Lander Rover,2024, H3,Proposed
 Chang'e 8,Lander,2026,TBD,Proposed
 North Korean mission to Moon,TBD,2026, Unha-20,Proposed
