Model,Type,Capacity,Speed (km/h),Speed (mph),Range (km),Range (mi),Door-to-door capable,Price
A³ Vahana [2][3][4],?,?,? km/h,?,? km,?,?,? €
Aeris Naviter AeroQuad [5],?,?,unflown,?,? km,?,?,? €
Milner Motors Aircar,Roadable aircraft,4,unflown,?,? km,?,?,"$450,000 US"
Attila Melkuti AMV 211 [6],?,?,unflown,?,? km,?,?,? €
Carter PAV[7],Autogyro,4,320 km/h,200 mph,? km,?,?,? €
Cartivator Skydrive [8],?,?,? km/h,?,? km,?,?,? €
DARPA TX,Roadable aircraft,4,unflown,?,? km,?,?,? €
DM AeroSafe Eagle Aero-Cart,VTOL aircraft,1,unflown,?,? km,?,?,? €
Peebles Fanwing [9],?,?,unflown,?,? km,?,?,? €
GEN H-4 [10][11][12],Ultralight helicopter,1,200 km/h,124 mph,60 km,37 mi,Yes,"¥7,500,000"
Gress Aerospace PAV [13],?,?,? km/h,?,? km,?,?,? €
BLI Helodyne,VTOL aircraft,4,230 km/h,140 mph,"1,950 km","1,210 mi",Yes,"$67,500 US"
Entecho Hoverpod[14],?,?,? km/h,?,? km,?,?,? €
AVCEN Jetpod,STOL aircraft,?,unflown,?,? km,?,?,n/a
Kitty Hawk Flyer,VTOL aircraft,?,? km/h,?,? km,?,?,? €
TAM Libelula,Backpack helicopter,?,? km/h,?,? km,?,?,? €
PAV-X[15],Ultralight Semi-Autonomous Drone,1,110 km/h,70 mph,64 km,40 mi,?,"€50,000"
Lilium Jet,VTOL,1,300 km/h,190 mph,300 km,190 mi,?,? €
Mosquito XE/XEL[16],ultralight helicopter,1,130 km/h,80 mph,240 km,150 mi,?,"€43,000"
PAL-V gyrocopter,autogyro,2,180 km/h,110 mph,350–500 km,220–310 mi,Yes,"€200,000"
Kestel PAV,?,?,unflown,?,? km,?,?,? €
Samson Skybike,Paramotor,1,? km/h,?,80 km,50 mi,?,"$6,000 US"
Moller Skycar,VTOL aircraft,?,unflown,?,? km,?,?,? €
Parajet Skycar,Paramotor,2,160 km/h,100 mph,320 km,200 mi,Yes,"£50,000"
Macro SkyRider X2R,?,?,unflown,?,? km,?,?,? €
Butterfly Super Sky Cycle,Autogyro,1,130 km/h,80 mph,? km,?,?,? €
Samson Switchblade,Roadable aircraft,2,unflown,?,555 km,345 mi,Yes,"$60,000 US (kit)"
Terrafugia Transition,Roadable aircraft,2,185 km/h,115 mph,787 km,489 mi,?,"$194,000 US"
VerdeGo Aero PAT200[17][18][19],hybrid electric VTOL,2 pax/225 kg (500 lb),240 km/h,150 mph,32–64 km,20–40 mi,urban vertiports,for operators
Xplorair PX200,VTOL aircraft,1,unflown,?,500 km,310 mi,Yes,"$80,000 US"
