English,Standard Malay (Malaysian),Indonesian
abolition,pemansuhan,"1. abolisi, 2. penghapusan"
abortion,pengguguran,"1. aborsi, 2. pengguguran (of a fetus)"
abroad,luar negara,luar negeri
accessibility,"1. kebolehcapaian, 2. ketercapaian","1. keterjangkauan, 2. ketercapaian, aksesibilitas"
"account (bank, bills)",akaun,"1. rekening (from Dutch – used in banks and hotels), 2. akun (used for all meanings of account apart from bank account)"
accountability,"kebertanggungjawapan, akauntabliti","akuntabilitas, pertanggungjawaban"
accountant,akauntan,akuntan
accounting,perakaunan,akuntansi
accurate,tepat,"1. tepat, 2. akurat (influenced by Dutch accuraat)"
administration,pentadbiran,administrasi (From Dutch pronunciation of administratie)
after,"1. selepas, 2. setelah","1. setelah (also used in Malay to indicate consecutive actions), 2. sesudah, selepas"
afternoon,petang,"1. sore, 2. petang"
agent,"1. ejen, 2. agen",agen
air force,tentera udara,angkatan udara
airport,lapangan terbang ('airfield' in Indonesian; similar to Dutch vliegveld),"bandar udara (loan translation of the English term, commonly abbreviated as bandara),  lapangan terbang"
Alexandria,Iskandariah,"Alexandria, Iskandariyah"
Algeria,Algeria,Aljazair (from Arabic: al-Jazā'ir – الجزائر)
Algiers,Algiers,Aljir (from Algerian Arabic: dzayr – دْزَايرْ‎‎)
alliance,"perikatan, persekutuan, pakatan","aliansi (influenced by Dutch alliantie), persekutuan"
alloy,"pancalogam, aloi","logam paduan, logam campuran, aloi"
apartment,"pangsapuri, rumah pangsa, rumah kondo (only for 'condominium')","apartemen (influenced by Dutch appartement), rumah susun (rusun) (public housing for poor families), kondominium"
application (software),"perisian penggunaan, aplikasi","perangkat lunak, aplikasi"
architect,arkitek,arsitek (from pronunciation of Dutch architect)
architecture,seni bina,arsitektur (influenced by Dutch architectuur)
archive,arkib,arsip (from Dutch archief)
area,kawasan,"daerah, area, kawasan"
armed forces,tentera,"tentara, angkatan bersenjata"
army,tentera darat,angkatan darat
assembly,"majlis, perhimpunan (from the root verb 'himpun' meaning 'to gather/assemble')","majelis, himpunan, perhimpunan"
assets,aset,"harta, aset, aktiva (from Dutch activa)"
association,persatuan,"asosiasi (from Dutch associatie), persatuan, perkumpulan"
assumption,"andaian, anggapan","asumsi, anggapan,
dugaan"
astronaut,angkasawan,"astronaut, antariksawan"
Athens,Athens,Athena (influenced by Dutch Athene or from native Greek Athina)
athletics (sport),olahraga ('sport' in Indonesian),atletik
auction,lelong from Portuguese leilão,lelang also from Portuguese leilão
August,Ogos,Agustus from Dutch augustus
auntie,"makcik (also used in Riau Malay dialect in Indonesia), emak saudara, ibu saudara","bibi, tante from Dutch"
autobiography,autobiografi,"autobiografi, otobiografi is a nonstandard spelling"
automatic,automatik (formerly otomatik),otomatis (derived from Dutch pronunciation of automatisch)
autonomy,autonomi,otonomi (self-governing)
awkward,"janggal, kekok (of gesture)","aneh, janggal, canggung, kikuk (of gesture)"
