Esperanto,Esperanto,Interlingua,Interlingua,English
Preferred form,Alternative form,Preferred Form,Alternative form,English
sana,sana,san,san,healthy
sano,sano,sanitate,sanitate,health
malsana,morba,malade,malsan,"sick, unhealthy"
malsano,morbo,"maladia, morbo",malsanitate,"malady, illness, disease"
malsanulejo,hospitalo,hospital,malsanitario,hospital
saniĝi,reakiri,recovrar,sanar,"to become healthy, recover"
sanigi,kuraci,curar,sanar,"to make healthy, cure"
malsaniĝi,malsaniĝi,cader malade,malsanar,"to become sick, fall ill"
