Name,First release date,Latest stable release,Latest stable release date,Programming language,Graphical toolkit,License,Notes
Cinnamon,2011,4.6.2 [5],2020-05-27[5],"C, JavaScript, Python",GTK+,GPL,Forked from GNOME 3 with the intent to create a traditional desktop built on modern technologies.
Deepin Desktop Environment (DDE),2015,,2019-07-19,C++,Qt,GPL,The desktop environment of Deepin.
Enlightenment (E),1997,0.24.1[6],2020-05-31[6],C,EFL,BSD license,Complete environment including centralized configuration of most settings.
Equinox Desktop Environment (EDE),2003-01-06,2.1 [7],2014-06-22[7],C++,FLTK,"GPL, LGPL","Seldom used environment, has seen little activity in recent years."
Étoilé,2006-02-22,0.4.2,2012-04-11,Objective-C,GNUstep,"MIT, BSD license","Has seen little activity for several years, the last journal entry having been in 2014."
GNOME,1999-03-03,3.36[8],2020-03-11[8],"C, C++, Vala, Python, JavaScript",GTK+,"GPL, LGPL","GNOME is one of the most popular environments. Major design changes with the 3.0 release sparked the creation of Cinnamon (a fork of GNOME 3), Unity (an alternative Gnome Desktop Session to GNOME Shell) and MATE (a fork of GNOME 2)."
"KDE Plasma 5 (KDE5, KDE Plasma Workspaces, formerly K Desktop Environment or simply KDE)",1998-07-12,5.19[9],2020-06-09[9],"C++, QML",Qt,LGPL,"KDE has a strong and enthusiastic following. The project is largely community-centric, and encompass many other applications and frameworks, many built specifically for KDE."
LXDE (Lightweight X11 Desktop Environment),2006,0.10.0[10],2019-03-23[10],C,GTK+,"GPL, LGPL","LXDE, with its low resource footprint, is a favorite among developers of lighter-weight Linux distributions.  Development has largely moved to LXQt, but it is still maintained."
LXQt,2014-05-07,0.15.0[11],2020-04-24[11],"C, C++",Qt,"GPL, LGPL","Formed by a merger of LXDE-Qt and Razor-qt, this is a lightweight Qt-based desktop environment."
MATE,2011-08-19,1.24[12],2020-02-10[12],"C, C++, Python",GTK+,"LGPL, GPL","Revival and continuation of GNOME 2 environment after the release of GNOME 3. In recent releases, it has been ported to GTK+ 3, demonstrating the progress of the project."
Pantheon,2011,,2018-10-16,Vala,GTK+,GPL,The desktop environment of elementary OS.
Razor-qt,2010,0.5.2,2013-01-12,C++,Qt,GPL,merged into LXQt
ROX Desktop,2000 (?),,2011-10-09,"C, Python",GTK+,GPL
Trinity Desktop Environment (TDE),2010-04-29,R14.0.8 [13],2020-04-29[13],C++,Qt,GPL (and other),forked from KDE 3.x
Unity,2010-06-09,7.5,2016-05-25,"C, C++, Python, Vala, QML",GTK+,"GPL, LGPL","Developed by Canonical for Ubuntu as an alternative graphical shell to GNOME Shell. Designed with ""convergence"" in mind, it was discontinued by Canonical in early 2017."
Xfce,1996,4.14[14],2020-01-12[14],C,GTK+,"GPL, LGPL, BSD license",XFCE is often used in lightweight distributions targeting lower-end hardware.
